Commodity,Price_Date,Modal_Price_Avg,Modal_Price_Median,Min_Price_Avg,Max_Price_Avg,Markets_Reporting,States_Reporting
Onion,2023-01-07,1624.0592512077296,1267.5,1408.9855072463768,1824.792270531401,414,20
Onion,2023-01-08,1786.4491666666665,1530.0,1527.8464912280701,2011.8530701754387,456,22
Onion,2023-01-09,2274.5622222222223,2130.0,1961.5866666666666,2518.5355555555557,450,23
Onion,2023-01-10,2262.5243243243244,2030.0,2042.1351351351352,2444.7945945945944,185,16
Onion,2023-01-11,4343.7124873096445,4000.0,3784.6624365482235,4788.071065989848,394,23
Onion,2023-01-12,3970.1045576407505,3750.0,3580.313672922252,4323.423592493297,373,20
Onion,2023-02-07,1570.853046594982,1285.0,1393.4802867383512,1729.0,279,17
Onion,2023-02-08,1728.0207581967213,1512.5,1480.1967213114754,1943.7540983606557,488,23
Onion,2023-02-09,2230.067599067599,2100.0,1931.2797202797203,2470.6759906759908,429,22
Onion,2023-02-10,2270.376146788991,2050.0,2008.5351681957186,2490.6391437308866,327,18
Onion,2023-02-11,4332.898454746137,4000.0,3810.008830022075,4767.258278145695,453,23
Onion,2023-02-12,3905.2455696202533,3650.0,3515.650632911392,4232.843037974683,395,21
Onion,2023-03-07,1659.6822246696036,1300.0,1439.770925110132,1859.6762114537446,454,20
Onion,2023-03-08,1768.7061884368309,1550.0,1511.5203426124197,1981.0278372591006,467,23
Onion,2023-03-09,2169.1111111111113,2110.0,1924.72030651341,2364.1685823754788,261,18
Onion,2023-03-10,2327.539278131635,2090.0,2012.0127388535032,2584.3014861995753,471,23
Onion,2023-03-11,4198.814345991561,4000.0,3627.6983122362867,4645.784810126583,474,24
Onion,2023-03-12,3770.640909090909,3640.0,3484.0272727272727,4050.0272727272727,220,19
Onion,2023-04-07,1692.6590658174098,1350.0,1442.7409766454352,1912.5010615711253,471,22
Onion,2023-04-08,1735.6442032332561,1550.0,1465.3833718244803,1961.8937644341802,433,22
Onion,2023-04-09,2320.288209606987,2127.5,2018.9694323144104,2552.670305676856,458,22
Onion,2023-04-10,2355.724358974359,2100.0,2045.2628205128206,2614.3739316239316,468,24
Onion,2023-04-11,4209.318944844124,4010.0,3744.2877697841727,4585.764988009592,417,23
Onion,2023-04-12,3863.652977412731,3615.0,3291.975359342916,4233.815195071868,487,22
Onion,2023-05-07,1696.1523529411766,1351.0,1440.9193899782135,1920.359477124183,459,20
Onion,2023-05-08,1748.4906542056074,1565.0,1511.1892523364486,1946.8294392523364,428,21
Onion,2023-05-09,2312.2703050108935,2120.0,1997.3769063180828,2558.8518518518517,459,24
Onion,2023-05-10,2350.039748953975,2100.0,2038.2259414225941,2593.2510460251046,478,24
Onion,2023-05-11,4035.0439024390244,4000.0,3756.2487804878047,4308.707317073171,205,14
Onion,2023-05-12,3786.8337078651684,3600.0,3223.5483146067418,4180.492134831461,445,24
Onion,2023-06-06,1334.7673456790124,1110.0,1145.0905349794239,1506.962962962963,486,23
Onion,2023-06-07,1751.108350730689,1400.0,1501.7202505219207,1965.6847599164928,479,21
Onion,2023-06-08,1817.2090163934427,1567.5,1605.377049180328,2004.6598360655737,244,21
Onion,2023-06-09,2262.4031007751937,2100.0,1970.875968992248,2497.813953488372,387,21
Onion,2023-06-10,2321.447092050209,2100.0,2002.8221757322176,2579.755230125523,478,23
Onion,2023-06-11,4088.387121212121,3984.5,3555.7272727272725,4510.6255411255415,462,21
Onion,2023-06-12,3803.8417582417583,3600.0,3245.720879120879,4189.852747252748,455,24
Onion,2023-07-06,1383.3445647558387,1125.0,1200.5435244161358,1560.1995753715498,471,22
Onion,2023-07-07,1747.1727064220186,1400.0,1490.538990825688,1972.2844036697247,436,21
Onion,2023-07-08,1843.7242176870748,1600.0,1579.8321995464853,2055.988662131519,441,20
Onion,2023-07-09,2322.058184210526,2140.0,2073.25,2508.5947368421052,380,21
Onion,2023-07-10,2393.8315550755938,2130.0,2082.7602591792656,2637.144708423326,463,22
Onion,2023-07-11,4016.2720556745185,3850.0,3504.0299785867237,4421.638115631692,467,24
Onion,2023-07-12,3777.0934959349593,3550.0,3217.3130081300815,4155.40243902439,492,24
Onion,2023-08-06,1406.4238592750535,1126.0,1231.641791044776,1579.315565031983,469,22
Onion,2023-08-07,1724.7836411609499,1400.0,1471.6332453825858,1933.5277044854881,379,20
Onion,2023-08-08,1892.8573493975903,1600.0,1623.4357429718875,2120.1887550200804,498,23
Onion,2023-08-09,2265.4177215189875,2120.0,1979.4978902953587,2493.7299578059074,474,22
Onion,2023-08-10,2248.7148288973385,2110.0,1996.6159695817491,2455.7794676806084,263,18
Onion,2023-08-11,4165.138228941684,3850.0,3678.0842332613393,4571.8142548596115,463,23
Onion,2023-08-12,3695.693446088795,3500.0,3263.2241014799156,4067.4291754756873,473,24
Onion,2023-09-06,1353.3299130434782,1120.0,1178.8521739130435,1524.0260869565218,460,22
Onion,2023-09-07,1631.3091603053435,1425.0,1448.8358778625955,1801.7824427480916,262,17
Onion,2023-09-08,1970.3383975659228,1600.0,1703.5294117647059,2187.738336713996,493,23
Onion,2023-09-09,2258.176470588235,2100.0,1968.6200980392157,2492.6176470588234,408,22
Onion,2023-09-10,2409.752461873638,2175.0,2076.9150326797385,2641.211328976035,459,23
Onion,2023-09-11,5127.554054054054,3900.0,4575.018018018018,5580.831081081081,444,24
Onion,2023-09-12,3586.8582887700536,3500.0,3160.7032085561495,3970.4304812834225,374,23
Onion,2023-10-06,1291.6751338199513,1120.0,1116.7177615571777,1453.4014598540145,411,22
Onion,2023-10-07,1668.9130537634408,1450.0,1415.2989247311828,1892.305376344086,465,19
Onion,2023-10-08,1984.8522245762713,1617.5,1704.156779661017,2213.3389830508477,472,23
Onion,2023-10-09,2161.003546099291,2095.0,1914.8085106382978,2376.9397163120566,282,18
Onion,2023-10-10,2353.7880085653105,2150.0,2031.3768736616703,2592.147751605996,467,23
Onion,2023-10-11,4122.719895287958,3900.0,3729.0523560209426,4459.062827225131,382,23
Onion,2023-10-12,3577.8353413654618,3400.0,3245.2008032128515,3859.9397590361446,249,18
Onion,2023-11-06,1277.9927797833934,1100.0,1131.3140794223827,1413.4440433212997,277,17
Onion,2023-11-07,1600.823311546841,1475.0,1365.681917211329,1804.4705882352941,459,21
Onion,2023-11-08,1986.7656745182012,1620.0,1683.2334047109207,2219.578158458244,467,23
Onion,2023-11-09,2334.993670886076,2122.5,2031.9915611814347,2584.0991561181436,474,23
Onion,2023-11-10,2455.1673640167364,2200.0,2131.644351464435,2705.010460251046,478,25
Onion,2023-11-11,4248.0421455938695,3975.0,3834.3256704980845,4606.954022988506,261,22
Onion,2023-11-12,3452.128260869565,3350.0,3017.1065217391306,3787.708695652174,460,21
Onion,2023-12-06,1401.295294117647,1125.0,1219.5395537525355,1572.6511156186612,493,20
Onion,2023-12-07,1590.4974509803922,1495.0,1340.1394335511982,1815.0021786492375,459,21
Onion,2023-12-08,1916.9323308270677,1675.0,1639.6516290726818,2136.2055137844613,399,22
Onion,2023-12-09,2307.778021978022,2100.0,2022.2087912087911,2551.9978021978022,455,24
Onion,2023-12-10,2418.454841437632,2200.0,2084.4799154334037,2664.1585623678648,473,23
Onion,2023-12-11,4077.027972027972,3850.0,3774.4755244755243,4362.06993006993,143,12
Onion,2023-12-12,3335.592017738359,3260.0,2946.5654101995565,3659.977827050998,451,22
Onion,2024-01-01,2171.5398457583547,1950.0,1880.943444730077,2608.5758354755785,389,20
Onion,2024-01-02,1840.288990825688,1709.5,1615.5711009174313,2045.4495412844037,436,22
Onion,2024-01-03,1945.1418604651162,1727.5,1673.593023255814,2153.851162790698,430,24
Onion,2024-01-04,1956.5960264900662,1800.0,1742.6986754966888,2132.612582781457,302,19
Onion,2024-01-05,1787.4905660377358,1690.0,1597.3962264150944,1983.867924528302,371,23
Onion,2024-01-06,1954.7631658291457,1650.0,1645.3015075376884,2186.565326633166,398,20
Onion,2024-01-08,3344.1630139372824,3022.5,2939.1202090592333,3540.6480836236933,574,23
Onion,2024-01-09,4343.393939393939,4082.5,3922.030303030303,4507.924242424242,330,20
Onion,2024-01-10,4541.003906542056,4300.0,3904.7644859813086,4836.639252336448,535,25
Onion,2024-01-11,4928.0428211586905,4800.0,4481.775818639799,5106.272040302267,397,21
Onion,2024-01-12,3958.9506172839506,3860.0,3649.4444444444443,4234.395061728395,162,17
Onion,2024-02-01,2274.566909975669,2000.0,1973.4136253041363,2540.2603406326034,411,22
Onion,2024-02-02,1848.8297872340424,1700.0,1613.463829787234,2125.3659574468084,470,24
Onion,2024-02-03,1876.6932084309133,1750.0,1602.704918032787,2077.5644028103043,427,21
Onion,2024-02-04,1721.8127090301002,1700.0,1460.5351170568563,1925.819397993311,299,21
Onion,2024-02-05,1845.4488017429194,1650.0,1613.9237472766883,2079.1132897603484,459,24
Onion,2024-02-06,1912.7590361445782,1650.0,1707.4939759036145,2095.5662650602408,249,19
Onion,2024-02-08,3361.573741258741,3045.0,2983.479020979021,3554.877622377622,572,24
Onion,2024-02-09,4256.125912408759,4000.0,3719.8138686131388,4470.010948905109,548,23
Onion,2024-02-10,4662.9885057471265,4500.0,4163.337931034483,4897.287356321839,435,21
Onion,2024-02-11,4758.2072892938495,4500.0,4296.220956719818,4961.849658314351,439,22
Onion,2024-02-12,4650.38947368421,4000.0,3921.082456140351,5058.364912280702,570,23
Onion,2024-03-01,2466.2056074766356,2050.0,2144.28738317757,2721.1495327102803,428,21
Onion,2024-03-02,1803.6813953488372,1676.5,1593.1023255813955,2058.1627906976746,430,23
Onion,2024-03-03,1898.4790697674418,1765.0,1693.4511627906977,2065.646511627907,215,19
Onion,2024-03-04,1875.0761670761672,1750.0,1619.6044226044226,2057.982800982801,407,24
Onion,2024-03-05,1847.8482905982905,1660.0,1619.7884615384614,2068.301282051282,468,23
Onion,2024-03-06,1952.4028870292886,1650.0,1646.623430962343,2189.0753138075315,478,21
Onion,2024-03-08,3364.931464737794,3000.0,2973.1826401446656,3545.1916817359856,553,23
Onion,2024-03-09,4165.144365217391,4000.0,3646.9495652173914,4414.686956521739,575,24
Onion,2024-03-10,4557.184654300168,4330.0,3947.5446880269815,4849.564924114671,593,24
Onion,2024-03-11,4742.876470588235,4500.0,4226.879411764706,4938.505882352942,340,19
Onion,2024-03-12,4582.629565217391,4000.0,3901.201739130435,4956.184347826087,575,24
Onion,2024-04-01,2372.190371991247,2000.0,2075.6673960612693,2648.665207877462,457,22
Onion,2024-04-02,1808.7911111111111,1700.0,1631.9288888888889,1965.4533333333334,225,18
Onion,2024-04-03,1927.1602564102564,1777.5,1652.3675213675215,2151.096153846154,468,22
Onion,2024-04-04,1889.5480093676815,1730.0,1650.3325526932085,2079.7985948477753,427,26
