Crop,Model,RMSE,MAE,MAPE,n_train,n_test
Onion,SARIMA,1916.5053062564134,1815.5096411424254,117.56597966105761,517,130
Onion,Prophet,2052.027873474218,2020.120304176729,119.59107970629215,517,130
Potato,Prophet,215.67042720661414,149.00881535425006,12.740353881096775,589,148
Potato,SARIMA,1473.1495815285996,1192.1864008885593,103.58902258320231,589,148
Rice,ExpSmoothing (trend),25.855999724161823,19.191295692293842,0.5764350701899201,49,13
Rice,SMA-14,26.615945516362654,19.97252747252749,0.6003803098366395,49,13
Tomato,SMA-14,231.61998576929463,169.5645161290322,10.91441615488011,123,31
Tomato,ExpSmoothing (trend),556.0892741972433,448.5544162369647,29.498552214015366,123,31
Wheat,SARIMA (no season),25.13662548147558,20.358824159854347,0.8198087098886907,196,50
Wheat,Prophet (no season),31.594981671230542,26.38286730938701,1.0649279267465912,196,50
